team,park,attendance,year,league,teamID,rank,games,wins,losses,runs,at_bats,hits,errors,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,FP,BPF
St. Louis Cardinals,Busch Stadium II,1695270,1975,NL,SLN,3,163,82,80,662,5597,1527,171,3.57,33,13,36,4362,1452,98,571,824,0.97,104
Chicago Cubs,Wrigley Field,1034819,1975,NL,CHN,5,162,75,87,712,5470,1419,178,4.49,27,8,33,4332,1587,130,551,850,0.97,104
Montreal Expos,Jarry Park,908292,1975,NL,MON,5,162,75,87,601,5518,1346,180,3.72,30,12,25,4440,1448,102,665,831,0.97,104
Cincinnati Reds,Riverfront Stadium,2315603,1975,NL,CIN,1,162,108,54,840,5581,1515,102,3.37,22,8,50,4377,1422,112,487,663,0.98,102
Los Angeles Dodgers,Dodger Stadium,2539349,1975,NL,LAN,2,162,88,74,648,5453,1355,127,2.92,51,18,21,4407,1215,104,448,894,0.97,96
San Francisco Giants,Candlestick Park,522919,1975,NL,SFN,3,161,80,81,659,5447,1412,145,3.74,37,9,24,4296,1406,92,612,856,0.97,104
San Diego Padres,Jack Murphy Stadium,1281747,1975,NL,SDN,4,162,71,91,552,5429,1324,188,3.48,40,12,20,4389,1494,99,521,713,0.97,94
Atlanta Braves,Atlanta-Fulton County Stadium,534672,1975,NL,ATL,5,161,67,94,583,5424,1323,175,3.91,32,4,24,4290,1543,101,519,669,0.97,103
Houston Astros,Astrodome,858002,1975,NL,HOU,6,162,64,97,664,5515,1401,137,4.04,39,6,25,4374,1436,106,679,839,0.97,93
New York Yankees,Yankee Stadium II,2012434,1976,AL,NYA,1,159,97,62,730,5555,1496,126,3.19,62,15,37,4365,1300,97,448,674,0.98,100
Baltimore Orioles,Memorial Stadium,1058609,1976,AL,BAL,2,162,88,74,619,5457,1326,118,3.32,59,16,23,4404,1396,80,489,678,0.98,94
Boston Red Sox,Fenway Park II,1895846,1976,AL,BOS,3,162,83,79,716,5511,1448,139,3.52,49,13,27,4374,1495,109,409,673,0.97,113
Cleveland Indians,Cleveland Stadium,948776,1976,AL,CLE,4,159,81,78,615,5412,1423,121,3.47,30,17,46,4296,1361,80,533,928,0.98,98
Detroit Tigers,Tiger Stadium,1467020,1976,AL,DET,5,161,74,87,609,5441,1401,168,3.87,55,12,20,4293,1426,101,550,738,0.97,103
Milwaukee Brewers,County Stadium,1012164,1976,AL,ML4,6,161,66,95,570,5396,1326,152,3.64,45,10,27,4305,1406,99,567,677,0.97,98
Kansas City Royals,Royals Stadium,1680265,1976,AL,KCA,1,162,90,72,713,5540,1490,139,3.21,41,12,35,4416,1356,83,493,735,0.97,102
Oakland Athletics,Oakland Coliseum,780593,1976,AL,OAK,2,161,87,74,686,5353,1319,144,3.26,39,15,29,4377,1412,96,415,711,0.97,95
Minnesota Twins,Metropolitan Stadium,715394,1976,AL,MIN,3,162,85,77,743,5574,1526,172,3.69,29,11,23,4377,1421,89,610,762,0.97,103
California Angels,Anaheim Stadium,1006774,1976,AL,CAL,4,162,76,86,550,5385,1265,150,3.36,64,15,17,4431,1323,95,553,992,0.97,93
Texas Rangers,Arlington Stadium,1164982,1976,AL,TEX,4,162,76,86,616,5555,1390,156,3.45,63,15,15,4416,1464,106,461,773,0.97,102
Chicago White Sox,Comiskey Park,914945,1976,AL,CHA,6,161,64,97,586,5532,1410,130,4.25,54,10,22,4344,1460,87,600,802,0.97,101
Philadelphia Phillies,Veterans Stadium,2480150,1976,NL,PHI,1,162,101,61,770,5528,1505,115,3.08,34,9,44,4377,1377,98,397,918,0.98,104
Pittsburgh Pirates,Three Rivers Stadium,1025945,1976,NL,PIT,2,162,92,70,708,5604,1499,163,3.36,45,12,35,4398,1402,95,460,762,0.97,100
New York Mets,Shea Stadium,1468754,1976,NL,NYN,3,162,86,76,615,5415,1334,131,2.94,53,18,25,4347,1248,97,419,1025,0.97,94
Chicago Cubs,Wrigley Field,1026217,1976,NL,CHN,4,162,75,87,611,5519,1386,140,3.93,27,12,33,4413,1511,123,490,850,0.97,108
St. Louis Cardinals,Busch Stadium II,1207079,1976,NL,SLN,5,162,72,90,629,5516,1432,174,3.6,35,15,26,4359,1416,91,581,731,0.97,101
Montreal Expos,Jarry Park,646704,1976,NL,MON,6,162,55,107,531,5428,1275,147,3.99,26,10,21,4320,1442,89,659,783,0.97,105
Cincinnati Reds,Riverfront Stadium,2629708,1976,NL,CIN,1,162,102,60,857,5702,1599,102,3.51,33,12,45,4413,1436,100,491,790,0.98,102
Los Angeles Dodgers,Dodger Stadium,2386301,1976,NL,LAN,2,162,92,70,608,5472,1371,128,3.02,47,17,28,4410,1330,97,479,747,0.98,98
Houston Astros,Astrodome,886146,1976,NL,HOU,3,162,80,82,625,5464,1401,140,3.56,42,17,29,4332,1349,82,662,780,0.97,91
San Francisco Giants,Candlestick Park,626868,1976,NL,SFN,4,162,74,88,595,5452,1340,183,3.53,27,18,31,4383,1464,68,518,746,0.97,103
San Diego Padres,Jack Murphy Stadium,1458478,1976,NL,SDN,5,162,73,89,570,5369,1327,141,3.65,47,11,18,4296,1368,87,543,652,0.97,92
Atlanta Braves,Atlanta-Fulton County Stadium,818179,1976,NL,ATL,6,162,70,92,620,5345,1309,167,3.86,33,13,27,4314,1435,86,564,818,0.97,106
New York Yankees,Yankee Stadium II,2103092,1977,AL,NYA,1,162,100,62,831,5605,1576,132,3.61,52,16,34,4347,1395,139,486,758,0.97,99
Baltimore Orioles,Memorial Stadium,1195769,1977,AL,BAL,2,161,97,64,719,5494,1433,106,3.74,65,11,23,4353,1414,124,494,737,0.98,94
Boston Red Sox,Fenway Park II,2074549,1977,AL,BOS,2,161,97,64,859,5510,1551,132,4.11,40,13,40,4284,1555,158,378,758,0.97,113
Detroit Tigers,Tiger Stadium,1359856,1977,AL,DET,4,162,74,88,714,5604,1480,140,4.13,44,3,23,4371,1526,162,470,784,0.97,105
Cleveland Indians,Cleveland Stadium,900365,1977,AL,CLE,5,161,71,90,676,5491,1476,130,4.1,45,8,30,4356,1441,136,550,876,0.97,96
